"Applies to these edge types","Name","Type","Presence","ML0","ML1","ML2","ML3","Description","Example Value","Rating for keeping (1 -5) (1 = throw out/table for later, 5 = keep/implement now)
Put Name Rating and then ',' for adding the next person","Notes","OSM Mapping?"
"all EXCEPT road","road_associated","Boolean","Optional","Bike: Optional
Ped: Optional","","","","Specifies if this feature is adjacent to a road. Might be able to be created through spatial analysis but intended to help add road attributes (street name, speeds, traffic volume) to the feature to aid with routing.","","Reid 3,","This might be redundant. Make sure name matches other terms used in the spec eg 'Roadway Adjacent', 'Road parallel' , 'Road assocaited'

I would say this is defacto true if road_reference_id is set to anything right?",""
"stairs","wheel_channel","Boolean","Optional","","Recommended","","","Wheel channels in stairs for bicycles.","","Reid 4,","Only valid on stairs?",""
"multi_use_path","mup_modal_delineation","Boolean","Optional","","","Ped: Optional","Ped: Optional","Mostly intended for multi-use/shared-use paths to designate whether bikes and pedestrians have designated spaces on a multi-use/shared-use path","FALSE","","Need help with attribute name",""
"road","*:left:*","Modifier","Conditionally Required","Ped: Required if sidewalk is being represented on the road centerline
Bike: Required if cycleway is being represented on the road centerline AND the cycleway is not symettrical","","","","Special field that is used on road centerlines to specify information about sidewalks/bike facilities on road centerline only networks. The '*' takes on an ""edge type"" value and then an additional '*' is used to reference the inherited fields for that type.","left.sidewalk.width=5; bikelane.left.separation=none","","Lots of different ways we could do this but would be nice to keep it structured using the link types. Unsure about the order of left",""
"road","*:right:*","Modifier","Conditionally Required","","","","","Special field that is used on road centerlines to specify information about sidewalks/bike facilities on road centerline only networks. The '*' takes on an ""edge type"" value and then an additional '*' is used to reference the inherited fields for that type.","","","",""
"road","*:both:*","Modifier","Conditionally Required","","","","","Special field that is used on road centerlines to specify information about sidewalks/bike facilities on road centerline only networks. The '*' takes on an ""edge type"" value and then an additional '*' is used to reference the inherited fields for that type.","","","",""
"road, cycleway","street_parking","Enum","Optional","Ped: Optional
Bike: Optional","Bike: Recommended","","","Field intended to indicate orientation of street parking in relation to a bike facility. ""left"" means that the street parking is to the left of the bike facility relative to the direction of that bicycle facility. ""right"" means that the street parking is to the right of bike facility (alongside the curb) relative to the direction of the bike facility.","not next to lane","Reid 5,","","https://wiki.openstreetmap.org/wiki/Street_parking"
"road","street_parking_buffer","Decimal","Optional","Ped: Optional","","Bike: Recommened","","The space between a bicycle facility and the street parking.","","Reid 4,","",""
"all","date_built","Date in RFC 3339 format","Optional","Ped: Optional
Bike: Optional","","Ped: Recommended
Bike: Recommended","","Month year, maybe just year that facility officially opened/was created?","","","",""
"all","width:min","decimal","Optional","","Ped: Optional","Ped: Recommended","Ped: Recommended","Extension for width. Requires a width.","","","",""
"all","width:max","decimal","Optional","","","Ped: Optional","Ped: Optional","Extension for width. Requires a width.","","2","",""
"all","width","decimal","Optional","Ped: Optional","Ped: Required","Ped: Required","Ped: Required","Extension for width. Requires a width.","","","",""
"all","bridge","boolean","","Ped: Optional","Ped: Optional","Ped: Recommended","Ped: Recommended","Used to indicate if edge is or is on a bridge.","","Reid 5,","Could this be inferred if altitude is set to anything > 0? ",""
"road, cycleway","cycleway_type","enum","Required","Bike: Required","","","","Used to get the general type of bicycle infrastructure. Possible values are: route, lane, cycletrack. Multi-use paths and shared use paths are labelled separately.","","","",""
"road, cycleway","cycleway_type_descriptive","string","Optional","","","","","Option to put a more human readable descriptive name for the type of bicycle facility. Strongly reccomend using on of  the National Bicycle Network Definitions if at all possible (https://data.transportation.gov/stories/s/National-Bicycle-Network/88zh-3rqb/)","","Paul 5, needs better name!","Have suggested field values",""
"sidewalk, crossing, footway, traffic_island","cross_slope","number","Optional. Shouldn't be","","Ped: Optional","Ped: Required","Ped: Required","Cross slope of the segment, probably worst case. Extended to include mix, max, and avg if that data is available","","","",""
"sidewalk, crossing, footway, traffic_island","cross_slope.min","number","Optional","","Ped: Optional","Ped: Optional","Ped: Optional","Extension for crossslope. Requires measures along a segment.","","2","Final form could be storing this at the node level",""
"sidewalk, crossing, footway, traffic_island","cross_slope.max","number","Optional","Ped: Optional","Ped: Optional","Ped: Optional","Ped: Optional","Extension for crossslope. Requires measures along a segment.","","","",""
"sidewalk, crossing, footway, traffic_island","cross_slope","number","Optional","","","","","Extension for crossslope. Requires measures along a segment.","","","",""
"road","curb_height","number","Optional","","","Ped: Optional","Ped: Optional","Indicates typical height of the curb along this segment of the road; can be used in deciding whether to route specific pedestrians off the sidewalk when there are obstructions or discontinuities.","","","","https://wiki.openstreetmap.org/wiki/Key:kerb#Kerb_height"
"road","traffic_volume","number","","","","","","Average annual daily traffic (AADT) for the segment","","3","Might be nice to have metadata about the source",""
"road","traffic_noise","number","","","","","","Average noise in decibels for the segment; can be obtained from National Transportation Noise Map","","3","Useful to go ahead and have but this could be a layer BTS or a tool adds in the validation step?",""
"all","level_of_stress","number","Optional","","Ped: Optional","","","Level of traffic stress, calculated using any preferred methodology.","","Reid 3,","At least constrain to a 1 to 4 scale? Should it be by the bike facility or apply to the entire to the entire road?",""
"all","level_of_stress_method","string (with recommended values)","Conditionally Required if level_of_stress is filled in","","Required if level_of_stress is filled in","","","The methodology used to calculate level_of_stress","","Reid 3,","",""
"all","surface_quality","string (with recommended values)","","","Ped: Optional","Ped: Recommended","Ped: Recommended as node instead","Description of surface quality issues for the segment. If the quality is good, leave blank. In levels 0-2, use this field for any surface quality issues. In level 3, use the issue node to indicate quality issues at a single point, and this field to indicate quality issues that span the majority of the segment.","cracking, slipping hazard, paint/marking faded or other issue","","",""
"all","seasonal","string (with recommended values)","","","","Ped: Optional","Ped: Optional","Indicates whether the segment is commonly affected by seasonal issues. Use this field for recurring (ex. yearly flooding) and not one-time (ex. single flood) events. Include the season(s) of occurence, and use JSON string format.","{""flooding"":""spring"",""fall""}; {""ice"":""winter"",""heavy rain"":""summer""}","","",""
"sidewalk, crossing, footway, traffic_island","ada_compliance","enum","","Ped: Optional","Ped: Recommended","Ped: Recommended","Ped: Recommended","Indicates the outcome of assessment for ADA compliance","yes, no, unknown","","Isn't this a value-laden statement? Break down into specific attributes that drive yes or no? ",""
"sidewalk, crossing, footway, traffic_island","ada_compliance_date","Date in RFC 3339 format","Recommended if ada_compliance is filled in","Ped: Optional","Ped: Required if ada_compliance is filled in","Ped: Required if ada_compliance is filled in","Ped: Required if ada_compliance is filled in","Indicates the date when ADA compliance was assessed.","","","",""
"crossing, cycleway, bikelane","traffic_calming","string (with recommended values)","","Ped: Optional","Ped: Optional","Ped: Optional","Ped: Optional","What type of traffic calming measure is present on the segment. Indicate traffic calming that a person using this infrastructure would encounter on this segment -- for example, curb extensions would be encountered on any type, but speed bumps won't be encountered in crossings.","curb extension / bulb out, narrowed road, chicane, speed hump, speed limit reduction, roundabout, raised crossing or intersection, road texture","Reid 2,","Important information but too vauge in its current form",""
"all","status","enum","","Ped: Optional","Ped: Recommended","Ped: Required","Ped: Required","Most recent operating status of the segment: open, closed, under construction","closed","Reid 3,","",""
"road","speed","JSON","Optional","Ped: Optional
Bike: Optional","","","","In Miles Per Hour. Used to indicate posted or prevailing speed.","","","I this would be an extension? Can put in 85th percentile speed or a generic prevailing speed value to detail the actual speed of cars on a road if they differ from the speed limit?",""
"road","motor_vehicle_traffic_volume","JSON","Optional","","","","","Need to specify units. ADT vs AADT vs vehicles per hour","","Reid 3,","Same as speed",""
"road","lanes","integer","","","","","","Describes the number of vehicle travel lanes on an edge. Does not include turn lanes or shoulders.","","Reid 3,","Convention is to not count auxilliary lanes/turn lanes/slip lane/etc but obviously these would be relevant for pedestrians and bike because it increases the crossing distance. I think my preference would be to count everything but it would make the data more interoperable to keep turn lanes counted separately.","https://wiki.openstreetmap.org/wiki/Lanes"
"road","aux_lanes","integer","","","","","","Describes the number of temporary vehicle lanes like turn lanes.","","Reid 2,","",""
"road","shoulder","boolean","Optional","","","","","Shoulders are sometimes used for pedestrian and bike travel. Especially in rural areas.","","","",""
"road","painted_centerline","boolean","","","","","","Indicates if there is a painted road centerline. Might be a useful attribute to track for finding low-stress streets. Montgomery County uses center line presence in their LTS methodology (https://montgomeryplanning.org/wp-content/uploads/2017/11/Appendix-D.pdf)","","","",""
"road","separate_tag?","boolean","","","","","","In OSM, there is a cycleway=separate/sidewalk=separate tag that can be used to indicate that there is a sidewalk/cycleway but that it's separately mapped.","","","","https://wiki.openstreetmap.org/wiki/Tag:cycleway%3Dseparate#:~:text=cycleway%20%3D%20separate%20indicates%20that%20a,to%20sidewalk%20%3D%20separate%20for%20sidewalks."
"all EXCEPT road","presence","modifier, boolean","Optional","","","","","Basic tag that's used for saying sidewalks or cycleways exist and other attributes exist. Used when detail is not available. Values: yes, no, missing, unknown","cycleway:left:presence=yes, cycleway:right:buffer:presence=yes","","",""
"all","check_date","Date in RFC 3339 format","","","","","","Metadata field indicating the last time this edge was inspected?","","","",""
"sidewalk","pedestrian_lane","boolean","","","Ped: Optional","Ped: Optional","Ped: Optional","Indicates whether the edge is a pedestrian lane, in which a section of the roadway surface is divided out for pedestrian use.","yes, no","","",""
"trail","official","boolean","","","Ped: Optional","Ped: Optional","Ped: Optional","Indicates whether a trail has been officially designated by a government body or other recognized organization.","yes, no","","",""
"sidewalk, crossing, footway, traffic island","obstruction","string (with recommended values)","","","","Ped: Optional (temporary / permanent values only)","Ped: Recommended (list specific issue)","Indicates what type of obstruction exists at the node point. For obstructions that occur repeatedly along the length of an edge, use the quality attribute on the related edge instead.","temporary, permanent, pole, overgrowth, height obstruction, protrusion, street furniture","","Why do we have a present yes/no then type? Why not just collapse into one field? ",""
"crossing, footpath, sidewalk","bike_allowed","","","","","","","Used with pedestrian features to allow for complicated routing between mutli-use paths and the road. Used where mutli-use path is inapropriate","","","",""
"road","bike_in_bus_lane","","","","Bike: Recommended","","","Used for specifying if the road has bus lane that bikes are allowed in","","","",""
"crossing","bike_crossing","","","","","","","Used to indidicate a dedicated bicycle crossing through an intersection","","","",""
"road","pocket_lane","Enum","Optional","","","Bike: Recommended","","Used to identify lanes that are in between turn lanes. Recommended values are: left, right, both","","","https://dot.ca.gov/-/media/dot-media/programs/research-innovation-system-information/documents/final-reports/ca17-2836-finalreport-a11y.pdf","https://wiki.openstreetmap.org/wiki/Lanes#Crossing_with_a_designated_lane_for_bicycles"
