"Applies to these edge types","Name","Type","Presence","ML0","ML1","ML2","ML3","Description","Example Value","Rating for keeping (1 -5) (1 = throw out/table for later, 5 = keep/implement now)
Put Name Rating and then ',' for adding the next person","Notes","OSM Mapping?"
"bikeway","bikeway_grade_separation","Enum","Optional","Ped: Optional
Bike: Optional","","","","Is the edge at road level, sidewalk level, or on it's own level?: at-grade, raised, sidewalk-level","","Reid 2,","Added last minute but we don't currently have a way to track whether a bike facility has been raised to sidewalk level",""
"all","width","Integer","Optional","Ped: Optional","Ped: Required","Ped: Required","Ped: Required","Extension for width. Requires a width.","","","",""
"all","width_min","Integer","Optional","","","","","","","","",""
"bikeway, sidewalks","separation_elements","List","Conditionally Required","Ped: Optional
Bike: Optional","Bike: Required if separator field is not none","","","The materials used to separate the bikeway or footpath from motor vehicle traffic -- for example, as part of a buffer. Values: bollards, concrete barrier, parking, median, trees, other","","Reid 4,","Do we need this for sidewalks? Or just make an assumption that most sidewalks are curb separated from the road?",""
"bikeway, sidewalk","seperation_permeable_car","Enum","Optional","Ped: Optional
Bike: Required","","","","Can a vehicle easily access this edge? Primarily intended for bikeways but could be used for pedestrian facilities. Options are: none, soft separator, hard separator","","","",""
"bikeway, sidewalk","buffer_width","Decimal","Optional","","","Bike: Recommended","","Distance between the edge of the motor vehicle travel lane and the bike lane or sidewalk in feet.","4","Reid 4,","",""
"road, bikeway","street_parking","Enum","Optional","Ped: Optional
Bike: Optional","Bike: Recommended","","","Field intended to indicate orientation of street parking in relation to a bike facility. Parallel, angled, parking protected. If bike facility is parking protected put that over parallel or angled.","","Reid 5,","","https://wiki.openstreetmap.org/wiki/Street_parking"
"road","street_parking_buffer","Decimal","Optional","Ped: Optional","","Bike: Recommened","","The space between a bicycle facility and the street parking.","","Reid 4,","",""
"road","traffic_volume","number","","","","","","Average annual daily traffic (AADT) for the segment","","3","Might be nice to have metadata about the source",""
"road, multi_use_path","posted_speed_limit","Integer","Optional","Ped: Optional
Bike: Optional","","","","In Miles Per Hour. Used to indicate posted or prevailing speed.","","","I this would be an extension? Can put in 85th percentile speed or a generic prevailing speed value to detail the actual speed of cars on a road if they differ from the speed limit?",""
"road","car_freeflow_speed","Integer","Optional","Ped: Optional
Bike: Optional","","","","In Miles Per Hour. Used to indicate posted or prevailing speed. Suggest 85th percentile.","","","I this would be an extension? Can put in 85th percentile speed or a generic prevailing speed value to detail the actual speed of cars on a road if they differ from the speed limit?",""
"road","thru_lanes","Integer","Optional","","","","","Describes the number of vehicle travel lanes on an edge. Does not include turn lanes or shoulders.","","Reid 3,","Convention is to not count auxilliary lanes/turn lanes/slip lane/etc but obviously these would be relevant for pedestrians and bike because it increases the crossing distance. I think my preference would be to count everything but it would make the data more interoperable to keep turn lanes counted separately.","https://wiki.openstreetmap.org/wiki/Lanes"
"road","aux_lanes","Integer","Optional","","","","","Describes the number of temporary vehicle lanes like turn lanes.","","Reid 2,","",""
"road","shoulder","Boolean","Optional","","","","","Shoulders are sometimes used for pedestrian and bike travel. Especially in rural areas.","","","",""
"road","roadway_centerline","Boolean","Optional","","","","","Indicates if there is a painted road centerline. Might be a useful attribute to track for finding low-stress streets. Montgomery County uses center line presence in their LTS methodology (https://montgomeryplanning.org/wp-content/uploads/2017/11/Appendix-D.pdf)","","","",""
"all","bridge","Boolean","Optional","Ped: Optional","Ped: Optional","Ped: Recommended","Ped: Recommended","Used to indicate if edge is or is on a bridge.","","Reid 5,","Could this be inferred if altitude is set to anything > 0? ",""
"multi_use_path","mup_modal_delineation","Boolean","Optional","","","Ped: Optional","Ped: Optional","Mostly intended for multi-use/shared-use paths to designate whether bikes and pedestrians have designated spaces on a multi-use/shared-use path","FALSE","","Need help with attribute name",""
"all","prohibited_uses","List Enum","Conditionally Required","Ped: Required if a restriction is present
Bike: Required if a restriction is present
","","","","Specifies, which types of users are legally prohibited from using the facility. Relates to the laws, policy, or signage on a facility (eg, E Bike prohibited on this trail)","","Reid 5,","Changed to prohibited uses. These should be really general. We can have another field to describe more specific restrictions like Class 1 ebikes only. Time based uses could be implemented in an extension file in a future version to account for regularly scheduled closed streets.",""
"all","surface_material","String with recommended values","Optional","Ped: Optional
Bike: Optional","Ped: Required
Bike: Required","","","Specifies the surface type. Recommened Values: asphalt, concrete, gravel, grass, dirt, paved, unpaved, grass_paver, paving_stones, other","","Reid 5,","too many values? too complex?",""
"–","surface_quality","String with recommended values","","","Ped: Optional","Ped: Recommended","Ped: Recommended as node instead","Description of surface quality issues for the segment. If the quality is good, leave blank. In levels 0-2, use this field for any surface quality issues. In level 3, use the issue node to indicate quality issues at a single point, and this field to indicate quality issues that span the majority of the segment.","cracking, slipping hazard, paint/marking faded or other issue","","",""
"all","status","enum","","Ped: Optional","Ped: Recommended","Ped: Required","Ped: Required","Most recent operating status of the segment: open, closed, under construction","closed","Reid 3,","",""
"all","seasonal","string (with recommended values)","","","","Ped: Optional","Ped: Optional","Indicates whether the segment is commonly affected by seasonal issues. Use this field for recurring (ex. yearly flooding) and not one-time (ex. single flood) events. Include the season(s) of occurence, and use JSON string format.","{""flooding"":""spring"",""fall""}; {""ice"":""winter"",""heavy rain"":""summer""}","","",""
"sidewalk","pedestrian_lane","boolean","","","Ped: Optional","Ped: Optional","Ped: Optional","Indicates whether the edge is a pedestrian lane, in which a section of the roadway surface is divided out for pedestrian use.","yes, no","","",""
"all","incline","Decimal","Optional","Ped: Optional
Bike: Optional","Ped: Required","Bike: Recommended","","The running slope of the full segment. Always asume the given incline is in the foward direction regardless of allowed directions (i.e., ""from node"" to ""to node"").","","Reid 4,","Probably need a source field to go alongside this? Or a metadata thing?",""
"sidewalk, crossing, footway, traffic_island","cross_slope","number","Optional","","Ped: Optional","Ped: Required","Ped: Required","Cross slope of the segment, probably worst case. Extended to include mix, max, and avg if that data is available","","","",""
"sidewalk, crossing, footway, traffic_island","cross_slope_max","","","","","","","","","","",""
"sidewalk, crossing, footway, traffic_island","ada_compliance","enum","","Ped: Optional","Ped: Recommended","Ped: Recommended","Ped: Recommended","Indicates the outcome of assessment for ADA compliance","yes, no, unknown","","Isn't this a value-laden statement? Break down into specific attributes that drive yes or no? ",""
"sidewalk, crossing, footway, traffic_island","ada_compliance_date","Date in RFC 3339 format","","Ped: Optional","Ped: Required if ada_compliance is filled in","Ped: Required if ada_compliance is filled in","Ped: Required if ada_compliance is filled in","Indicates the date when ADA compliance was assessed.","","","",""
"sidewalk, crossing, footway, traffic island","obstruction","string (with recommended values)","","","","Ped: Optional (temporary / permanent values only)","Ped: Recommended (list specific issue)","Indicates what type of obstruction exists at the node point. For obstructions that occur repeatedly along the length of an edge, use the quality attribute on the related edge instead.","temporary, permanent, pole, overgrowth, height obstruction, protrusion, street furniture","","Why do we have a present yes/no then type? Why not just collapse into one field? ",""
"crossing","markings","Enum","Optional","","Ped: Optional (yes/no values)","Ped: Recommended (specify type)","","The way the crossing is marked within the roadway space. Values: yes, no, standard (two solid parallel lines to indicate the outline), dashed lines (two dashed parallel lines to indicate the outline), zebra (regularly spaced diagonal bars along its length), continental (regularly spaced horizontal bars along its length), ladder (standard + zebra or continental), other rainbow or colored (for any non-pictogram markings in rainbow colors or colors other than white), pictograms (painted images of pedestrian and/or bicycle, with or without arrows). ","standard","Reid 5,","Consolidate the enumerated values",""
"crossing","markings_additional","List","Optional","","","Ped: Recommended","","Rainbow / colored / mural, tactile, pictograms (painted images of pedestrian and/or bicycle)","","Reid 2,","",""
"crossing","traffic_control","String with recommended values","Optional","","","Ped: Recommended
Bike: Recommended","","What type of traffic control exists for this particular crossing. Values: uncontrolled, PHB, HAWK, RRFB, signalized, yield, stop, railroad crossing - signed, railroad crossing - signalized, railroad crossing - gate, railroad crossing - other, other. Note: This value is for this crossing segment. For example, if the intersection is a two-way stop, the crossings over the traffic lanes that have the stops would be marked ""stop,"" while the crossings over the traffic lanes with no stops would be ""uncontrolled.""","","Reid 4,","Helpful for low-effort implimentation of sidewalks/crossings data? Could also be derived from other data/nodes. Should this is an enumerated field with a domain of possible vlaues or have flexibility to describe however the analyst wants","https://wiki.openstreetmap.org/wiki/Tag:crossing=traffic%20signals?uselang=en"
"stairs","handrail","Boolean","Optional","","","Ped: Recommended","","Whether or not the stairs have a handrail.","","Reid 5,","",""
"stairs","step_count","Integer","Optional","Ped: Optional","","Ped: Recommended","","The number of steps within the set of stairs.","","Reid 4,","Not sure what this is for--JM: for people to determine if the stair is too many steps for them to go up or down? Accessibility? ",""
"stairs","wheel_channel","Boolean","Optional","","Recommended","","","Wheel channels in stairs for bicycles.","","Reid 4,","Only valid on stairs?",""
"all","date_built","Date in RFC 3339 format","Optional","Ped: Optional
Bike: Optional","","Ped: Recommended
Bike: Recommended","","Month year, maybe just year that facility officially opened/was created?","","","",""
"all","check_date","Date in RFC 3339 format","Optional","","","","","Metadata field indicating the last time this edge was inspected?","","","",""
